id,lat,lon,location,hive,day,month,year,hour,min,segment,Round,Transitional,Tremble,Dance,Pollen forager on frame,dancer.id,cluster.id,runs.measured,points,minX,maxX,meanX,sdX,minY,maxY,meanY,sdY,min_duration.sec,max_duration.sec,mean_duration.sec,sd_duration.sec,minI,maxI,meanI,sdI,minLen,maxLen,meanLen,sdLen,minD2S,maxD2S,meanD2S,sdD2S,minD2R,maxD2R,meanD2R,sdD2R,minD2P,maxD2P,meanD2P,sdD2P,minV,maxV,meanV,sdV,min_angle,max_angle,mean_angle,sd_angle,minDelta,maxDelta,meanDelta,sdDelta,skew,min_angle_corr,max_angle_corr,mean_angle_corr,azimuth,heading.degrees,heading.radians,flag
,40.0760707,-88.24695,SD,,11,8,2022,11,29,08-11-2022_2329,,,,,,3,3,4,8,1267.833,1327.5,1302.875,22.273,226.833,259.167,246.083,10.116,1.602,2.436,1.935,0.36,24,47,29.875,7.415,22.847,46.2,37.587,10.246,0,46.2,18.794,21.181,NA,NA,NA,NA,22.847,46.2,37.587,10.246,12.92,24.422,19.633,5.517,-26.768,23.199,-9.316,22.179,NA,NA,NA,NA,,63.232,113.199,80.684,163.7,244.384,4.265305439,
,40.0760707,-88.24695,SD,,11,8,2022,11,35,08-11-2022_2335,,,,,,1,1,4,8,1062.5,1109.5,1082.125,15.052,432.5,490,462.625,18.879,0.601,1.268,0.951,0.273,32,83,59.875,16.839,19.925,32.527,26.807,5.196,0,32.527,13.404,14.727,NA,NA,NA,NA,19.925,32.527,26.807,5.196,21.874,33.615,29.153,5.493,107.526,135,121.042,11.461,NA,NA,NA,NA,,197.526,225,211.042,167,18.042,0.314892304,
,40.0760707,-88.24695,SD,,11,8,2022,11,35,08-11-2022_2335,,,,,,2,2,4,8,1167,1249,1205.812,28.839,380.5,491,440,40.127,0.968,1.535,1.26,0.246,22,51,44.25,9.588,29.606,46.543,35.785,7.506,0,46.543,17.892,19.749,NA,NA,NA,NA,29.606,46.543,35.785,7.506,21.641,39.854,29.338,8.683,-26.966,2.463,-6.928,13.752,NA,NA,NA,NA,,63.034,92.463,83.072,167,250.072,4.364579767,
,40.0760707,-88.24695,SD,,11,8,2022,11,35,08-11-2022_2335,,,,,,3,3,4,8,1053.5,1093.5,1072.062,16.012,202.5,250,228.312,16.093,0.667,0.934,0.809,0.11,42,83,60.375,13.679,23.436,36.225,29.08,5.897,0,36.225,14.54,16.016,NA,NA,NA,NA,23.436,36.225,29.08,5.897,29.266,38.774,35.875,4.434,-178.182,162.646,-86.07,165.98,NA,NA,NA,NA,,271.818,252.646,3.93,167,170.93,2.98329129,
,40.0760707,-88.24695,SD,,11,8,2022,11,41,08-11-2022_2341,,,,,,1,1,4,8,1207.5,1232.833,1219.458,9.159,580.833,600.833,590.625,8.53,0.267,0.734,0.425,0.22,28,74,51.25,18.798,13.728,31.271,20.616,7.618,0,31.271,10.308,12.096,NA,NA,NA,NA,13.728,31.271,20.616,7.618,42.6,63.686,51.224,9.056,118.072,144.107,127.073,12.048,NA,NA,NA,NA,,208.072,234.107,217.073,170.3,27.373,0.477748976,
,40.0760707,-88.24695,SD,,11,8,2022,11,41,08-11-2022_2341,,,,,,2,2,4,8,613,684.5,648.062,23.329,421,503.5,448.25,31.082,0.734,1.235,0.984,0.225,60,85,70.75,8.828,22.672,29.707,26.066,2.916,0,29.707,13.033,14.063,NA,NA,NA,NA,22.672,29.707,26.066,2.916,20.59,34.53,27.443,6.286,136.364,157.989,142.555,10.329,NA,NA,NA,NA,,226.364,247.989,232.555,170.3,42.855,0.747960851,
,40.0760707,-88.24695,SD,,12,8,2022,12,28,08-12-2022_1228,,,,,,1,2,4,8,793,850,823,22.126,850,903.5,873.75,18.792,0.834,1.034,0.968,0.09,41,73,51.875,11.077,24.546,34.033,31.174,4.484,0,34.033,15.587,16.92,NA,NA,NA,NA,24.546,34.033,31.174,4.484,23.73,38.739,32.559,6.316,81.995,97.651,89.667,6.851,NA,NA,NA,NA,,171.995,187.651,179.667,196.7,16.367,0.285658039,
,40.0760707,-88.24695,SD,,16,8,2022,11,4,08-16-2022_2304,X,,,,,1,1,4,8,1123,1175,1140.75,17.442,457,520,486.25,21.191,0.467,1.134,0.659,0.318,66,120,88.5,17.105,20.248,57.271,32.129,17.424,0,57.271,16.065,20.617,NA,NA,NA,NA,20.248,57.271,32.129,17.424,38.433,65.248,48.655,12.252,122.905,155.225,136.529,13.733,NA,NA,NA,NA,,212.905,245.225,226.529,152.5,19.029,0.332118703,
,40.0760707,-88.24695,SD,,16,8,2022,11,10,08-16-2022_2310,,,,,,1,1,4,8,1123,1175,1140.75,17.442,457,520,486.25,21.191,0.467,1.134,0.659,0.318,66,120,88.5,17.105,20.248,57.271,32.129,17.424,0,57.271,16.065,20.617,NA,NA,NA,NA,20.248,57.271,32.129,17.424,38.433,65.248,48.655,12.252,122.905,155.225,136.529,13.733,NA,NA,NA,NA,,212.905,245.225,226.529,155.4,21.929,0.382733252,
,40.0760707,-88.24695,SD,,16,8,2022,11,16,08-16-2022_2316,X,,,,,1,1,4,8,1012.833,1065.5,1036.583,20.211,466.833,498.833,481.417,11.555,0.667,0.901,0.826,0.107,77,109,92.875,12.461,31.02,44.045,36.251,5.798,0,44.045,18.125,19.745,NA,NA,NA,NA,31.02,44.045,36.251,5.798,35.756,49.144,44.151,6.315,151.783,177.397,160.394,11.744,NA,NA,NA,NA,,241.783,267.397,250.394,158.3,48.694,0.849870626,
